Id,Label,colaboracion,subscriptores,views
228,Lenier,['Chacal'],19.7K,No info
229,Bomba Estéreo,['Bad Bunny'],1.87M,"1,057,635,322 views"
230,Lit Killah,['Tiago PZK'],5.63M,No info
231,BANDIDO,[],,
232,Farina,['Maluma'],2.53M,"739,540,169 views"
233,Andra,['Descemer Bueno'],1.89M,"1,864,104,521 views"
234,Juaco,['El Kamel'],56,No info
235,Cosculluela,['Boy Wonder CF'],7.07M,"2,929,755,690 views"
236,Eladio Carrion,"['KHEA', 'KHEA']",3.21M,"1,769,255,324 views"
237,Alex Sensation,['Nicky Jam'],1.46M,"1,030,009,978 views"
238,Trapical,['Lalo Ebratt'],35.4K,No info
239,Pitbull,['Natti Natasha'],16M,"11,871,920,710 views"
