Id,Label,colaboracion,subscriptores,views
32,Myke Towers,"['Daddy Yankee', 'Daddy Yankee', 'Daddy Yankee', 'DJ Nelson', 'Jay Wheeler', 'Daddy Yankee', 'Tiago PZK', 'Tiago PZK', 'Juhn']",9.58M,No info
33,Kiddo,"['Pepe : Vizio', 'Delaossa']",102,No info
34,Subelo Neo,['Rauw Alejandro'],13,No info
35,Mora,"['Feid', 'De La Ghetto', 'Feid', 'Sech', 'Feid', 'Bad Bunny', 'Sech', 'Feid', 'Bad Bunny', 'Bad Bunny', 'Sech']",1.8M,"1,415,850,085 views"
36,Israel Fernández,['Omar Montes'],37.1K,No info
37,Manuel Turizo,"['Piso 21', 'Maria Becerra', 'Ozuna', 'Feid', 'Arcangel', 'Myke Towers', 'Rauw Alejandro', 'Ozuna', 'Mau y Ricky', 'Camilo', 'Anuel AA', 'Ozuna', 'Ozuna', 'Mau y Ricky', 'Camilo']",9.09M,No info
38,Wisin,"['Jowell & Randy', 'Jowell & Randy', 'Nicky Jam', 'Jowell & Randy', 'Nicky Jam', 'Ozuna']",7.41M,"6,131,538,963 views"
39,Ryan Castro,"['SOG', 'SOG', 'SOG', 'Feid', 'Feid', 'Blessd', 'Feid']",2.34M,No info
40,Cris Mj,['Tiago PZK'],1.53M,No info
41,Xyron,"['Nicky Jam', 'Rapeton Approved']",1.23K,No info
42,Natti Natasha,"['Maria Becerra', 'Ozuna', 'Maria Becerra', 'Becky G', 'Thalía', 'Maria Becerra', 'Ozuna', 'Thalía', 'Thalía', 'Daddy Yankee', 'Pitbull']",12M,"7,579,721,503 views"
43,Yandel,"['Tiago PZK', 'Arcangel', 'Arcangel', 'Tiago PZK', 'Rauw Alejandro', 'Anuel AA']",5.44M,"3,799,866,936 views"
44,Tom Fomt,"['Aqua VS', 'Harry Nach']",6,No info
45,Zion & Lennox,['Feid'],3.39M,"2,803,722,273 views"
46,Blessd,"['De La Ghetto', 'Darell', 'De La Ghetto', 'Darell', 'De La Ghetto', 'Darell', 'Ryan Castro', 'Ryan Castro']",2M,"1,420,501,838 views"
47,Fran C.,"['Pablo Pesadilla', 'Polima Westcoast', 'Nickoog Clk', 'Pablo Pesadilla', 'Polima Westcoast', 'Nickoog Clk', 'Pablo Pesadilla', 'Polima Westcoast', 'Nickoog Clk']",17.6K,No info
48,Wisin & Yandel,"['Rauw Alejandro', 'Daddy Yankee', 'Natti Natasha', 'Daddy Yankee', 'Natti Natasha', 'Daddy Yankee', 'Daddy Yankee', 'Daddy Yankee']",7.02M,"5,841,005,658 views"
49,De La Ghetto,"['Pailita', 'Polima Westcoast', 'Feid', 'Rauw Alejandro', 'Pailita', 'Polima Westcoast', 'Feid', 'J Balvin']",2.89M,"1,205,503,311 views"
50,Standly,"['Stars Music Chile', 'Cris Mj']",1.09M,No info
51,Maluma,"['Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone', 'Blessd', 'Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone', 'Jennifer Lopez', 'GIMS', 'Becky G', 'Farina', 'J Balvin', 'Wisin', 'De La Ghetto', 'GIMS']",28.9M,"20,260,536,856 views"
52,DJ Premier,['Feid'],163K,"12,716,100 views"
53,The Rudeboyz,"['Maluma', 'Adam Levine']",90.2K,No info
54,Trueno,['Tiago PZK'],5.86M,"1,377,008,952 views"
55,Ozuna,"['Tiago PZK', 'Karol G', 'Myke Towers', 'Tiago PZK', 'Sech', 'Tiago PZK', 'Tiago PZK', 'Sech', 'Tokischa', 'Karol G', 'Myke Towers', 'Camilo', 'Daddy Yankee', 'ROSALÍA']",35.7M,"22,043,425,111 views"
56,Bad Bunny,"['Jhay Cortez', 'J Balvin', 'Jhay Cortez', 'Tainy', 'Jowell & Randy', 'Ñengo Flow', 'J Balvin', 'Jhay Cortez', 'Daddy Yankee', 'Daddy Yankee', 'Jhay Cortez', 'Jowell & Randy', 'Ñengo Flow', 'J Balvin', 'Jhay Cortez', 'Farruko', 'Natti Natasha', 'ROSALÍA', 'Tainy', 'Sech', 'J Balvin', 'ROSALÍA', 'Jhay Cortez', 'Anuel AA', 'Dua Lipa', 'Tainy', 'J Balvin', 'Daddy Yankee', 'YAVIAH', 'J Balvin', 'Jhay Cortez', 'Tainy', 'J Balvin', 'J Balvin', 'Jhay Cortez', 'Jhay Cortez', 'Anuel AA', 'Jowell & Randy', 'Ñengo Flow', 'Tainy', 'ROSALÍA', 'Bomba Estéreo', 'J Balvin', 'Farruko', 'J Balvin', 'Jhay Cortez', 'Jhay Cortez', 'Jowell & Randy', 'Ñengo Flow', 'Jennifer Lopez', 'Wisin & Yandel', 'Wisin']",44.8M,"27,513,591,741 views"
57,Becky G,"['Natti Natasha', 'Paulo Londra', 'KAROL G', 'KAROL G', 'Paulo Londra', 'Natti Natasha', 'TINI', 'Anitta', 'Natti Natasha', 'Natti Natasha']",20.7M,"9,951,362,457 views"
58,Maria Becerra,"['J Balvin', 'Reik']",3.84M,"1,830,727,787 views"
59,Dimelo Flow,"['Arcangel', 'Lenny Tavárez', 'Wisin', 'Dalex', 'Arcangel', 'Arcangel']",664K,"357,832,911 views"
60,Crissin,"['Natan & Shander', 'Totoy El Frio', 'Natan & Shander', 'Totoy El Frio']",15.4K,No info
61,Lenny Tavárez,"['Blessd', 'Justin Quiles', 'Blessd', 'Justin Quiles', 'Blessd', 'Justin Quiles', 'Justin Quiles', 'Blessd', 'Justin Quiles', 'Dalex', 'Rauw Alejandro', 'Dalex', 'Brytiago']",3.07M,"845,629,632 views"
62,Lunay,"['Bad Bunny', 'Daddy Yankee', 'Lenny Tavárez', 'Boza', 'Juhn', 'Lenny Tavárez', 'Boza', 'Juhn', 'Bad Bunny', 'Daddy Yankee', 'Bad Bunny', 'Daddy Yankee', 'Bad Bunny', 'Daddy Yankee', 'Anuel AA', 'Ozuna', 'Bad Bunny', 'Daddy Yankee', 'Bad Bunny', 'Daddy Yankee']",5.12M,"2,336,843,605 views"
63,J Balvin,"['Sech', 'Daddy Yankee', 'Sech', 'Daddy Yankee', 'Zion & Lennox', 'Jowell & Randy', 'Ozuna', 'Chencho Corleone', 'Sech', 'Black Eyed Peas', 'Zion & Lennox', 'Zion & Lennox']",33.8M,"22,117,619,688 views"
64,Nicky Jam,"['Ozuna', 'Rauw Alejandro', 'J Balvin', 'Ozuna', 'Anuel AA', 'J Balvin', 'Dalex', 'Justin Quiles', 'Sech', 'Mau y Ricky', 'Ozuna', 'J Balvin', 'Enrique Iglesias', 'Luis Fonsi', 'Sebastián Yatra', 'Ozuna', 'Rauw Alejandro', 'Alex Sensation', 'J Balvin', 'Ozuna']",23.3M,"15,359,094,714 views"
65,Nio Garcia,"['Bad Bunny', 'J Balvin', 'Anuel AA', 'Myke Towers', 'Lenny Tavárez', 'Rauw Alejandro', 'Bad Bunny', 'J Balvin', 'Bad Bunny', 'J Balvin', 'Flow La Movie', 'Casper Magico', 'Bad Bunny', 'J Balvin']",1.32M,No info
66,Brytiago,['Darell'],5.27M,"3,137,229,243 views"
67,Dalex,"['Sech', 'Rich Music, Ltd']",6.12M,"3,973,877,283 views"
68,Robi,"['Alejo', 'Feid', 'Alejo', 'Feid', 'Alejo', 'Feid']",32.3K,No info
69,Feid,['Justin Quiles'],3.67M,"3,152,907,614 views"
70,Los Legendarios,"['Jhayco', 'Wisin', 'Myke Towers']",54.3K,"162,780,496 views"
71,Aventura,"['Bad Bunny', 'Romeo Santos', 'Bad Bunny', 'Romeo Santos']",6.12M,"6,619,519,564 views"
72,Young Miko,['Vf7'],6.67K,No info
73,SOG,"['Ryan Castro', 'Blessd']",2.97K,No info
74,Tainy,"['Bad Bunny', 'Julieta Venegas', 'J Balvin', 'J Balvin']",2.16M,"1,764,096,917 views"
75,Tiago PZK,"['Trueno', 'Trueno', 'LIT killah', 'Maria Becerra', 'Nicki Nicole', 'Lit Killah']",3.95M,"1,459,757,507 views"
76,Ovy On The Drums,"['Myke Towers', 'Blessd']",1.08M,"643,756,337 views"
77,Sean Paul,"['J Balvin', 'J Balvin', 'J Balvin']",4.35M,"2,766,978,108 views"
78,DJ Luian,"['Mambo Kingz', 'Nicky Jam', 'Darell', 'Anuel AA', 'Nicky Jam', 'Darell', 'Anuel AA', 'Mambo Kingz', 'Ozuna', 'Mambo Kingz']",525K,No info
79,Marc Anthony,"['Will Smith', 'Bad Bunny']",6.66M,"6,064,079,948 views"
80,Piso 21,['Micro TDH'],7.56M,"6,636,115,867 views"
81,DJ Snake,"['J Balvin', 'Tyga', 'J Balvin', 'Tyga']",23.8M,"7,966,352,684 views"
82,ChocQuibTown,"['Becky G', 'Farruko', 'Zion & Lennox']",1.15M,"789,754,340 views"
83,Trumpmoney,"['andres yuma', 'Vadi']",111K,No info
84,Almighty,['Luar La L'],3.1M,"693,775,865 views"
85,Randy,"['De La Ghetto', 'Cazzu']",884K,No info
86,Abhir Hathi,['EL IMA'],15.2K,No info
87,Prince Royce,['Maria Becerra'],10M,"5,858,140,006 views"
88,Ñejo,"['Ryan Castro', 'Andy Rivera']",2.51M,No info
89,Rei,"['Quevedo', 'BANDIDO', 'Duki']",873K,No info
90,Rusherking,['Dread Mar I'],2.11M,No info
91,Tokischa,"['Anuel AA', 'Ñengo Flow']",1.43M,"291,719,213 views"
92,Travis Scott,['ROSALÍA'],16.3M,"7,494,457,876 views"
93,Pedro Capó,['Camilo'],6.77M,"3,376,066,064 views"
94,Karol G,['Anuel AA'],28.8M,"15,399,667,447 views"
95,El Alfa,"['Darell', 'Noriel']",8.56M,"4,141,497,433 views"
96,Sky Rompiendo,"['Myke Towers', 'Rauw Alejandro']",359K,"178,378,222 views"
97,Luis Fonsi,"['Rauw Alejandro', 'Demi Lovato', 'Ozuna']",31.2M,"14,738,750,907 views"
98,Chino & Nacho,"['Chyno Miranda', 'Nacho']",4.8M,"4,166,858,655 views"
99,CNCO,['Natti Natasha'],11.9M,"7,031,329,752 views"
100,Reik,"['Morat', 'Maluma', 'Maluma']",9.58M,"7,792,732,796 views"
101,Evaluna Montaner,['Camilo'],3.72M,"625,344,977 views"
102,Carlos Vives,['Sebastián Yatra'],5.71M,"5,144,289,365 views"
103,Sebastián Yatra,"['Mau y Ricky', 'Mau y Ricky']",17.7M,No info
104,Chacal,['Lenier'],442K,"263,625,711 views"
105,Kim Loaiza,['Ovy On The Drums'],14.3M,"1,298,599,461 views"
106,Tiësto,['KAROL G'],6.33M,"3,161,870,616 views"
107,Skrillex,['J Balvin'],20M,"6,412,709,854 views"
108,Sech,['Daddy Yankee'],9.73M,"5,527,541,049 views"
109,Descemer Bueno,['Andra'],135K,"86,747,284 views"
110,Kendo Kaponi,"['Farruko', 'Anuel AA']",1.33M,"341,309,330 views"
111,El Kamel,['Juaco'],108K,No info
112,Boy Wonder CF,"['Bryant Myers', 'Baby Rasta', 'Cosculluela']",18.8K,No info
113,KHEA,"['Eladio Carrion', 'Noriel', 'Eladio Carrion', 'Noriel']",4.84M,"1,636,593,242 views"
114,Chyno Miranda,['J Balvin'],807K,"290,470,438 views"
115,Pacho El Antifeka,['Daddy Yankee'],318K,No info
116,Santana The Golden Boy,"['Amenazzy', 'Noriel']",6.83K,No info
117,Silvestre Dangond,['Natti Natasha'],5.66M,No info
118,Greeicy,['Anitta'],5.55M,No info
119,Lalo Ebratt,['Trapical'],918K,"495,915,934 views"
120,Plan B,['Justin Quiles'],5.57M,"3,829,650,060 views"
121,Omar Montes,"['Farruko', 'Jairo deRemache', 'C. Tangana', 'Israel Fernández']",756K,"463,718,041 views"
122,Duki,"['Quevedo', 'Bizarrap', 'Bizarrap', 'RVFV', 'Rei']",6.59M,"2,581,971,448 views"
