artista,colaborador,duracion,explicito,visitas,fecha_publicacion,title
Duki,Cris Mj,249,False,31785680,2022/12/15,Marisola (Remix) (feat. Standly & Stars Music Chile)
Duki,Nicki Nicole,249,False,31785680,2022/12/15,Marisola (Remix) (feat. Standly & Stars Music Chile)
Rauw Alejandro,Baby Rasta,214,False,93293260,2022/09/24,PUNTO 40
Jhayco,Feid,231,False,19298684,2022/10/20,En La De Ella
Jhayco,Sech,231,False,19298684,2022/10/20,En La De Ella
Wisin,Jowell & Randy,227,False,7331792,2022/12/15,Si Te Pillo
Punto40,Marcianeke,228,False,42423694,2021/04/23,Mini Mini
Rauw Alejandro,Lyanno,207,False,98619976,2022/07/25,LOKERA
Rauw Alejandro,Brray,207,False,98619976,2022/07/25,LOKERA
Yandel,Tiago PZK,173,False,4185962,2022/12/01,Delincuente
Anuel AA,Chris Jedi,221,False,14982342,2022/11/08,DURO (feat. Jenny La Sexy Voz)
Anuel AA,Gaby Music,221,False,14982342,2022/11/08,DURO (feat. Jenny La Sexy Voz)
Mora,De La Ghetto,186,False,2518777,2022/11/03,AIRBNB
Blessd,De La Ghetto,260,False,17823823,2022/10/13,INSTAGRAM REMIX  🥵
Blessd,Darell,260,False,17823823,2022/10/13,INSTAGRAM REMIX  🥵
Myke Towers,Daddy Yankee,194,False,7049485,2022/11/24,ULALA (OOH LA LA)
Yandel,Arcangel,203,False,10153680,2022/10/20,Doxxis
Natti Natasha,Maria Becerra,206,False,21033625,2022/09/29,LOKITA
Young Miko,Vf7,193,False,688078,2022/10/13,Aprovechame BB
Jhayco,Myke Towers,218,False,13139906,2022/08/18,Ande Con Quien Ande
Anuel AA,Chris Jedi,256,False,181256199,2022/05/19,La Llevo Al Cielo (Official Video)
Anuel AA,Ñengo Flow,256,False,181256199,2022/05/19,La Llevo Al Cielo (Official Video)
Anuel AA,Chencho Corleone,256,False,181256199,2022/05/19,La Llevo Al Cielo (Official Video)
Maluma,Chencho Corleone,239,False,50456269,2022/06/09,Nos Comemos Vivos (Official Video)
Anuel AA,Randy Nota Loca,244,False,28867846,2022/07/14,Malo
Anuel AA,Zion,244,False,28867846,2022/07/14,Malo
De La Ghetto,Rauw Alejandro,202,False,32829062,2022/06/03,Loco Por Perrearte (Remix)
Myke Towers,Tiago PZK,225,False,39813316,2022/07/14,Traductor
Rauw Alejandro,Chencho Corleone,232,False,367253885,2021/12/09,Desesperados
Ozuna,Tiago PZK,217,False,62130693,2022/06/02,Nos Comemos
Wisin & Yandel,Natti Natasha,234,False,2857614,2022/11/15,Mayor que usted
Wisin & Yandel,Daddy Yankee,234,False,2857614,2022/11/15,Mayor que usted
Robi,Alejo,237,False,60728715,2022/03/17,Pantysito (Official Video)
Robi,Feid,237,False,60728715,2022/03/17,Pantysito (Official Video)
Bad Bunny,Daddy Yankee,195,False,86101121,2022/04/06,X ÚLTIMA VEZ
Mora,Feid,205,False,98201645,2022/03/31,LA INOCENTE
Aventura,Bad Bunny,232,False,401446212,2021/08/02,"Aventura, Bad Bunny - Volví (Video Oficial)"
Aventura,Romeo Santos,232,False,401446212,2021/08/02,"Aventura, Bad Bunny - Volví (Video Oficial)"
Crissin,Natan & Shander,399,False,392854556,2021/06/17,"Poblado (feat. Crissin, Natan & Shander & Totoy El Frio)"
Crissin,Totoy El Frio,399,False,392854556,2021/06/17,"Poblado (feat. Crissin, Natan & Shander & Totoy El Frio)"
Ryan Castro,Feid,234,False,302929158,2021/11/12,Monastery
Lenny Tavárez,Blessd,241,False,285748881,2021/10/27,Medallo
Lenny Tavárez,Justin Quiles,241,False,285748881,2021/10/27,Medallo
Nio Garcia,Bad Bunny,270,False,311612805,2021/06/24,Nio Garcia x J Balvin x Bad Bunny - AM Remix
Nio Garcia,J Balvin,270,False,311612805,2021/06/24,Nio Garcia x J Balvin x Bad Bunny - AM Remix
Ryan Castro,SOG,184,False,4907109,2022/11/30,Marbella
SOG,Ryan Castro,218,True,3218622,2022/09/29,Qué Rico (Remix) (feat. El Clooy)
SOG,Blessd,218,True,3218622,2022/09/29,Qué Rico (Remix) (feat. El Clooy)
KAROL G,Maldy,222,False,259230826,2022/08/25,GATÚBELA
Natti Natasha,Ozuna,274,False,2442098526,2017/08/18,Criminal
Bad Bunny,Jhay Cortez,214,False,1241387333,2020/10/29,Dákiti
Becky G,Natti Natasha,217,False,2080983233,2018/04/20,Sin Pijama
Bad Bunny,J Balvin,306,False,1968479358,2019/05/16,No Me Conoce (Remix)
Bad Bunny,Jhay Cortez,306,False,1968479358,2019/05/16,No Me Conoce (Remix)
KAROL G,Nicki Minaj,204,False,1398401497,2019/11/07,Tusa (Official Video)
Rauw Alejandro,Chencho Corleone,232,False,367253885,2021/12/09,Desesperados
J Balvin,Maria Becerra,217,False,585424920,2021/05/27,Qué Más Pues? (Official Video)
KAROL G,Anuel AA,258,False,1346507020,2019/01/14,Secreto
Myke Towers,DJ Nelson,218,False,775307336,2020/07/17,La Curiosidad
Myke Towers,Jay Wheeler,218,False,775307336,2020/07/17,La Curiosidad
Dimelo Flow,Arcangel,233,False,858491949,2019/12/12,Sigues Con El (feat. Sech)
Anuel AA,Tainy,292,False,1003768232,2019/08/22,Adicto (Official Video)
Anuel AA,Ozuna,292,False,1003768232,2019/08/22,Adicto (Official Video)
Crissin,Natan & Shander,399,False,392854556,2021/06/17,"Poblado (feat. Crissin, Natan & Shander & Totoy El Frio)"
Crissin,Totoy El Frio,399,False,392854556,2021/06/17,"Poblado (feat. Crissin, Natan & Shander & Totoy El Frio)"
Rauw Alejandro,Mr. NaisGai,213,False,473946315,2021/02/13,2/Catorce
Lunay,Bad Bunny,266,False,875846522,2019/05/10,Soltera (remix)
Lunay,Daddy Yankee,266,False,875846522,2019/05/10,Soltera (remix)
Anuel AA,Chris Jedi,256,False,181256199,2022/05/19,La Llevo Al Cielo (Official Video)
Anuel AA,Ñengo Flow,256,False,181256199,2022/05/19,La Llevo Al Cielo (Official Video)
Anuel AA,Chencho Corleone,256,False,181256199,2022/05/19,La Llevo Al Cielo (Official Video)
Lenny Tavárez,Blessd,241,False,285748881,2021/10/27,Medallo
Lenny Tavárez,Justin Quiles,241,False,285748881,2021/10/27,Medallo
Ozuna,Karol G,262,False,619610920,2020/08/17,Caramelo Remix (Video Oficial)
Ozuna,Myke Towers,262,False,619610920,2020/08/17,Caramelo Remix (Video Oficial)
Bad Bunny,Tainy,252,False,1010533444,2019/05/31,Callaita
Rauw Alejandro,Lyanno,207,False,98619976,2022/07/25,LOKERA
Rauw Alejandro,Brray,207,False,98619976,2022/07/25,LOKERA
Becky G,Paulo Londra,280,False,841273800,2018/08/02,Cuando Te Besé (Official Video)
J Balvin,Sech,250,False,383581071,2020/09/03,Relación (remix) (feat. Farruko & ROSALÍA)
J Balvin,Daddy Yankee,250,False,383581071,2020/09/03,Relación (remix) (feat. Farruko & ROSALÍA)
Rauw Alejandro,Chencho Corleone,208,False,628783935,2019/03/14,El Efecto
Nicky Jam,Ozuna,204,False,613950625,2019/03/21,Te Robaré
Farruko,Rauw Alejandro,198,False,565588360,2019/08/28,Fantasias
Wisin & Yandel,Daddy Yankee,276,False,458481917,2019/06/27,Si Supieras
Nio Garcia,Bad Bunny,270,False,311612805,2021/06/24,Nio Garcia x J Balvin x Bad Bunny - AM Remix
Nio Garcia,J Balvin,270,False,311612805,2021/06/24,Nio Garcia x J Balvin x Bad Bunny - AM Remix
Jhayco,Anuel AA,245,False,158493099,2021/11/18,Súbelo
Jhayco,Myke Towers,245,False,158493099,2021/11/18,Súbelo
Farruko,Natti Natasha,261,False,423155431,2019/09/06,"DJ no pare (Remix) (feat. Lenny Tavárez, Dalex & Zion)"
Farruko,Justin Quiles,261,False,423155431,2019/09/06,"DJ no pare (Remix) (feat. Lenny Tavárez, Dalex & Zion)"
Bad Bunny,Jowell & Randy,296,False,354328441,2020/02/28,Safaera
Bad Bunny,Ñengo Flow,296,False,354328441,2020/02/28,Safaera
Anuel AA,Rauw Alejandro,229,False,423281135,2020/10/22,Reloj
Brytiago,Darell,188,False,537600826,2018/05/10,Asesina
KAROL G,Feid,145,False,114675902,2021/12/21,FRIKI (Official Video)
Anuel AA,Daddy Yankee,225,False,520882659,2018/11/08,Adictiva
Ozuna,Tiago PZK,217,False,62130693,2022/06/02,Nos Comemos
Dalex,Sech,274,False,140141851,2021/08/12,"Se Le Ve (feat. Dimelo Flow, Lenny Tavárez, De La Ghetto & Arcangel)"
Dalex,"Rich Music, Ltd",274,False,140141851,2021/08/12,"Se Le Ve (feat. Dimelo Flow, Lenny Tavárez, De La Ghetto & Arcangel)"
Bad Bunny,J Balvin,225,False,365016506,2019/06/27,QUE PRETENDES (Official Video)
Becky G,KAROL G,275,False,65339389,2022/04/15,MAMIII
Nio Garcia,Myke Towers,348,False,245030788,2020/09/04,La Jeepeta (Remix) (feat. Juanka & Brray)
Nio Garcia,Anuel AA,348,False,245030788,2020/09/04,La Jeepeta (Remix) (feat. Juanka & Brray)
Maluma,Chencho Corleone,239,False,50456269,2022/06/09,Nos Comemos Vivos (Official Video)
Bad Bunny,Jhay Cortez,227,False,234029761,2020/05/10,CÓMO SE SIENTE (Remix)
Wisin,Nicky Jam,235,False,446158162,2017/07/28,Si Tú la Ves
Nio Garcia,Lenny Tavárez,377,False,313122926,2019/07/18,"Mírame (remix) (feat. Myke Towers, Darell & Casper Magico)"
Nio Garcia,Rauw Alejandro,377,False,313122926,2019/07/18,"Mírame (remix) (feat. Myke Towers, Darell & Casper Magico)"
Robi,Alejo,237,False,60728715,2022/03/17,Pantysito (Official Video)
