nombre,id,idYTMusic,colaboracion,subscriptores,views
Quevedo,0,UC7PL9aor5qNRhvhWWVXyOqA,"['Myke Towers', 'Bizarrap', 'Ovy On The Drums', 'Mora', 'Linton', 'Bad Gyal', 'Mora', 'Polima Westcoast', 'Bizarrap', 'De La Ghetto', 'Duki']",1.16M,"350,625,317 views"
Arcangel,1,UCVcAt8IIKIeubRSigcYXgtA,"['Bad Bunny', 'Sech']",10.8M,"4,895,542,876 views"
Farruko,2,UC6QXZsAOOweLfhVPbqMyG4g,"['Omar Montes', 'Rauw Alejandro', 'Natti Natasha', 'Justin Quiles', 'Sean Paul', 'Nicky Jam', 'Amenazzy', 'Don Omar', 'Myke Towers', 'Rvssian', 'J Balvin', 'Rauw Alejandro', 'Anuel AA', 'Zumbi', 'Rauw Alejandro', 'KEVVO', 'Chencho Corleone', 'Natti Natasha', 'Justin Quiles', 'Nicky Jam', 'Amenazzy', 'Rauw Alejandro', 'Nicky Jam', 'Amenazzy', 'Rvssian', 'J Balvin', 'Nicky Jam', 'Amenazzy', 'Lenier']",18.4M,"8,992,773,404 views"
Belinda,3,UC8tw8d2POmc3Lt8t1bmgl9Q,"['Ana Mena', 'Ana Mena', 'Los Ángeles Azules', 'Lalo Ebratt']",872K,"355,133,189 views"
Aitana,4,UCkyzcFsGWVYSUGaR7YB9OYQ,['Sangiovanni'],2.16M,No info
Abraham Mateo,5,UCql3y41dHUh9JoPHMedvCbQ,['Ana Mena'],4.63M,"1,830,377,958 views"
Melendi,6,UCl4jq8XKq5X0ZL5p_xVMmZA,['India Martínez'],4.43M,"3,796,843,482 views"
Rauw Alejandro,7,UCw_m17sBd4GHxuK83-AZtuA,"['Baby Rasta', 'Lyanno', 'Brray', 'Baby Rasta', 'Lyanno', 'Brray', 'Chencho Corleone', 'Chencho Corleone', 'Mr. NaisGai', 'Lyanno', 'Brray', 'Chencho Corleone', 'Baby Rasta', 'Lyanno', 'Brray', 'Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone']",12.4M,"10,357,577,775 views"
Shakira,8,UCo6JijJGA3IvIiPsawDK3Ww,"['Ozuna', 'Rauw Alejandro', 'Ozuna', 'Ozuna', 'Rauw Alejandro', 'Anuel AA', 'Pedro Capó', 'Camilo', 'Maluma', 'Ozuna', 'Ozuna']",39.6M,"25,297,222,232 views"
Ptazeta,9,UCI9q5A6SUN37p0gM01E1R4Q,"['Emilia', 'Aitana', 'Emilia', 'Aitana', 'Emilia', 'Aitana']",383K,No info
KAROL G,10,UC7n3gWRN0vQzgiOKc51aZ4w,"['Maldy', 'Ovy On The Drums', 'Maldy', 'Maldy', 'Nicki Minaj', 'Anuel AA', 'Feid', 'Maldy', 'Anuel AA', 'Daddy Yankee', 'Anuel AA', 'Ovy On The Drums', 'Maldy', 'Feid', 'Nicki Minaj', 'Simone & Simaria', 'Anuel AA', 'Daddy Yankee', 'Nicki Minaj', 'Anuel AA', 'Mariah Angeliq ', 'Feid', 'Nicki Minaj', 'Anuel AA', 'Daddy Yankee', 'Anuel AA', 'Anuel AA', 'Daddy Yankee', 'Anuel AA', 'Anuel AA']",28.9M,"15,595,813,288 views"
Bizarrap,11,UCONiUl5u7y2bMaVZJcuRDEQ,['Duki'],16.7M,"5,948,065,983 views"
Ñengo Flow,12,UCeNt9djCuN7-Vr5J3kK_GkQ,"['Bad Bunny', 'Bad Bunny', 'Bad Bunny']",4.33M,"1,358,277,057 views"
Yandel,13,UCc1QpDE0iT0n6ZLckjflNHw,"['Feid', 'Feid', 'Tiago PZK', 'Arcangel', 'Rauw Alejandro', 'Anuel AA']",5.47M,"3,834,466,027 views"
Jairo deRemache,14,UC0rxntgJfUecm5h_d6mY8eg,"['Omar Montes', 'Farruquito']",195,No info
India Martínez,15,UCJbpTwP22V6baVULM7-J4Bw,['Andy Rivera'],1.01M,"717,234,886 views"
Myke Towers,16,UCYPsIfSIEwWcoynHBP5k1dg,"['Tiago PZK', 'Daddy Yankee', 'Daddy Yankee', 'Tiago PZK', 'DJ Nelson', 'Jay Wheeler', 'Juhn', 'DJ Nelson', 'Jay Wheeler']",9.62M,No info
Rema,17,UCy6qn2oxmoXA4_gBA5Q7zPw,['Selena Gomez'],2.71M,"827,650,997 views"
Duki,18,UCtLchRAZex11gn-ah1_1Pgw,"['Cris Mj', 'Nicki Nicole', 'Cris Mj', 'Nicki Nicole']",6.61M,"2,613,582,751 views"
Alain Pérez,19,UCyU8vQ_a9O7ErFoaEiuM4Cg,"['Original Elias', 'Big Lois']",16.4K,No info
Lola Indigo,20,UCydg_dYqBrPZ4-X1MnxD37A,['Maria Becerra'],1.25M,"698,366,223 views"
Wiso Rivera,21,UCwfvKaHqW4r64dOurVFzD9A,"['Cruz Cafuné', 'Juseph']",175,No info
Oliver Tree,22,UCoOFEu6s0wk7CUljMh8wisw,['Robin Schulz'],4.52M,"1,355,364,559 views"
David Guetta,23,UCh-4c1ZoBPNP1C8c-7iVvUQ,['Bebe Rexha'],24.9M,"16,734,156,124 views"
Subelo Neo,24,UCYEfkGCYwm66_W3xj6zaD4Q,"['Rauw Alejandro', 'Rauw Alejandro']",27,No info
JC Reyes,25,UCXGll6UzxbSdLO1_w7rP22g,"['Pablo Chill-E', 'Ecko', 'Pablo Chill-E', 'Ecko']",18.6K,No info
ROSALÍA,26,UCeYz6rzUGhVwqxRM37FUo8w,"['Romeo Santos', 'Romeo Santos', 'Romeo Santos', 'Romeo Santos']",10M,"4,754,527,121 views"
RVFV,27,UCj6HoOP59UGegqUC-fu4Wlg,['Duki'],992K,No info
C. Tangana,28,UCLuHOvsT_LbOGVjqmXudvBg,"['Omar Montes', 'Becky G', 'Becky G']",2.24M,"1,384,979,241 views"
Anuel AA,29,UCbBaYg2UToDaoOwo-R6xi4g,"['Chris Jedi', 'Gaby Music', 'Jowell & Randy', 'De La Ghetto', 'Yailin la Mas Viral', 'Chris Jedi', 'Gaby Music', 'Chris Jedi', 'Ñengo Flow', 'Chencho Corleone', 'Randy Nota Loca', 'Zion', 'Tainy', 'Ozuna', 'Chris Jedi', 'Ñengo Flow', 'Chencho Corleone', 'Rauw Alejandro', 'Daddy Yankee', 'Ozuna', 'Sech', 'Brytiago', 'Daddy Yankee', 'Natti Natasha', 'Rauw Alejandro', 'Chris Jedi', 'Gaby Music', 'MVSIS', 'Chris Jedi', 'Ñengo Flow', 'Chencho Corleone', 'Rauw Alejandro', 'Rvssian', 'Juice WRLD', 'Ozuna', 'Tainy', 'Ozuna', 'Chris Jedi', 'Gaby Music', 'Tainy', 'Ozuna', 'Tainy', 'Ozuna', 'Daddy Yankee']",23.5M,"12,893,697,831 views"
Bad Bunny,30,UCiY3z8HAGD6BlSNKVn2kSvQ,"['Bomba Estéreo', 'Daddy Yankee', 'Jhay Cortez', 'J Balvin', 'Jhay Cortez', 'Tainy', 'Jowell & Randy', 'Ñengo Flow', 'J Balvin', 'Jhay Cortez', 'Jhay Cortez', 'Jowell & Randy', 'Ñengo Flow', 'J Balvin', 'Jhay Cortez', 'Farruko', 'Natti Natasha', 'ROSALÍA', 'Tainy', 'Sech', 'J Balvin', 'ROSALÍA', 'Jhay Cortez', 'Anuel AA', 'Dua Lipa', 'Tainy', 'J Balvin', 'Daddy Yankee', 'YAVIAH', 'Mora', 'J Balvin', 'Jhay Cortez', 'Tainy', 'J Balvin', 'J Balvin', 'Jhay Cortez', 'Jhay Cortez', 'Anuel AA', 'Jowell & Randy', 'Ñengo Flow', 'Tainy', 'ROSALÍA', 'Bomba Estéreo', 'J Balvin', 'Farruko', 'J Balvin', 'Jhay Cortez', 'Jhay Cortez', 'Jowell & Randy', 'Ñengo Flow', 'Jennifer Lopez', 'Wisin & Yandel', 'Wisin', 'Tainy', 'J Balvin', 'Chencho Corleone']",45M,"27,924,908,184 views"
Nyno Vargas,31,UCcOkTwhObuMSEyPSPsccC_g,"['Khaled', 'Los Yakis']",630K,No info
Manuel Turizo,32,UCfh2j2Dq-aSeLhzuPOsnhVg,"['Piso 21', 'Ozuna', 'Feid', 'Arcangel', 'Myke Towers', 'Rauw Alejandro', 'Ozuna', 'Mau y Ricky', 'Camilo', 'Anuel AA', 'Ozuna', 'Ozuna', 'Mau y Ricky', 'Camilo', 'Fuego', 'Duki']",9.14M,No info
Beret,33,UCz34FayZhwHJNdCLqhwVYaw,['Estopa'],4.57M,"1,469,904,439 views"
María Artés Lamorena,34,UCIor0JghnFIMBOjfstqWPyg,"['La Cebolla', 'MAKI']",127K,No info
Galvan Real,35,UC0r04hp-02vxsjHBVlm4F3A,['María Artés Lamorena'],421K,No info
Cano,36,UCumOUWYBPRw2pxGl7QGeiRw,"['El Jhota', 'Los del Control']",185K,No info
Snow Tha Product,37,UC75nukWj1GP0V62KVH7WvzQ,['Santa Fe Klan'],1.99M,"357,717,048 views"
Jhayco,38,UChZEzxer-QvRMbADJJGOMuQ,"['Feid', 'Sech', 'Myke Towers', 'Anuel AA', 'Myke Towers', 'Mora', 'Sech', 'Mora', 'Feid', 'Sech']",4.76M,"3,769,860,800 views"
Wisin,39,UCFVg6y3fZO7OVFbmoGfNdhQ,"['Jowell & Randy', 'Nicky Jam', 'Nicky Jam', 'Ozuna', 'Don Omar', 'Gente de Zona']",7.42M,"6,167,158,387 views"
Punto40,40,UC3olP0E2KSYpewQsautWmIA,['Marcianeke'],84.8K,No info
Mora,41,UCgDpp8Ex8Yz6hhHjbl3W5mg,"['De La Ghetto', 'Feid', 'Bad Bunny', 'Sech', 'Feid', 'Bad Bunny', 'Sech']",1.84M,"1,472,928,946 views"
Blessd,42,UC3vpYFFzqIzsXbMgneDTSeQ,"['De La Ghetto', 'Darell', 'Ryan Castro']",2.03M,"1,467,759,549 views"
